data,hora,corrente,potencia
2026-08-04,16:03:55,1.370,174.0
2026-08-04,16:03:55,1.370,174.0
2026-08-04,16:03:55,1.370,174.0
2026-08-04,16:03:55,1.370,174.0
2026-08-04,16:03:56,1.370,173.9
2026-08-04,16:03:56,1.369,173.9
2026-08-04,16:03:56,1.369,173.9
2026-08-04,16:03:56,1.369,173.9
2026-08-04,16:03:56,1.369,173.9
2026-08-04,16:03:56,1.369,173.8
2026-08-04,16:03:56,1.369,173.8
2026-08-04,16:03:57,1.369,173.8
2026-08-04,16:03:57,1.369,173.8
2026-08-04,16:03:57,1.369,173.8
2026-08-04,16:03:57,1.369,173.8
2026-08-04,16:03:57,1.369,173.8
2026-08-04,16:03:57,1.369,173.9
2026-08-04,16:03:58,1.369,173.9
2026-08-04,16:03:58,1.369,173.9
2026-08-04,16:03:58,1.369,173.9
2026-08-04,16:03:58,1.369,173.9
2026-08-04,16:03:58,1.369,173.9
2026-08-04,16:03:58,1.369,173.9
2026-08-04,16:03:59,1.369,173.9
2026-08-04,16:03:59,1.369,173.8
2026-08-04,16:03:59,1.369,173.8
2026-08-04,16:03:59,1.369,173.8
2026-08-04,16:03:59,1.369,173.8
2026-08-04,16:03:59,1.369,173.8
2026-08-04,16:04:00,1.369,173.8
2026-08-04,16:04:00,1.369,173.8
2026-08-04,16:04:00,1.368,173.8
2026-08-04,16:04:00,1.368,173.8
2026-08-04,16:04:00,1.368,173.8
2026-08-04,16:04:00,1.368,173.8
2026-08-04,16:04:01,1.368,173.8
2026-08-04,16:04:01,1.368,173.8
2026-08-04,16:04:01,1.368,173.8
2026-08-04,16:04:01,1.368,173.8
2026-08-04,16:04:01,1.368,173.8
2026-08-04,16:04:01,1.368,173.8
2026-08-04,16:04:02,1.368,173.8
2026-08-04,16:04:02,1.368,173.8
2026-08-04,16:04:02,1.368,173.8
2026-08-04,16:04:02,1.368,173.8
2026-08-04,16:04:02,1.368,173.8
2026-08-04,16:04:02,1.368,173.8
2026-08-04,16:04:03,1.368,173.8
2026-08-04,16:04:03,1.368,173.8
2026-08-04,16:04:03,1.368,173.8
2026-08-04,16:04:03,1.368,173.8
2026-08-04,16:04:03,1.368,173.8
2026-08-04,16:04:03,1.368,173.8
2026-08-04,16:04:04,1.368,173.7
2026-08-04,16:04:04,1.368,173.7
2026-08-04,16:04:04,1.368,173.7
2026-08-04,16:04:04,1.368,173.7
2026-08-04,16:04:04,1.368,173.7
2026-08-04,16:04:04,1.368,173.7
2026-08-04,16:04:05,1.368,173.7
2026-08-04,16:04:05,1.368,173.7
2026-08-04,16:04:05,1.368,173.7
2026-08-04,16:04:05,1.368,173.7
2026-08-04,16:04:05,1.368,173.7
2026-08-04,16:04:05,1.368,173.7
2026-08-04,16:04:06,1.368,173.7
2026-08-04,16:04:06,1.368,173.7
2026-08-04,16:04:06,1.368,173.7
2026-08-04,16:04:06,1.368,173.7
2026-08-04,16:04:06,1.368,173.7
2026-08-04,16:04:06,1.368,173.7
2026-08-04,16:04:07,1.368,173.7
2026-08-04,16:04:07,1.368,173.7
2026-08-04,16:04:07,1.368,173.7
2026-08-04,16:04:07,1.368,173.7
2026-08-04,16:04:07,1.368,173.7
2026-08-04,16:04:07,1.368,173.7
2026-08-04,16:04:08,1.368,173.7
2026-08-04,16:04:08,1.368,173.7
2026-08-04,16:04:08,1.368,173.7
2026-08-04,16:04:08,1.368,173.8
2026-08-04,16:04:08,1.368,173.8
2026-08-04,16:04:08,1.368,173.8
2026-08-04,16:04:09,1.369,173.8
2026-08-04,16:04:09,1.369,173.8
2026-08-04,16:04:09,1.368,173.8
2026-08-04,16:04:09,1.368,173.8
2026-08-04,16:04:09,1.368,173.8
2026-08-04,16:04:09,1.368,173.7
2026-08-04,16:04:10,1.368,173.7
2026-08-04,16:04:10,1.368,173.7
2026-08-04,16:04:10,1.368,173.7
2026-08-04,16:04:10,1.367,173.7
2026-08-04,16:04:10,1.367,173.6
2026-08-04,16:04:10,1.367,173.6
2026-08-04,16:04:11,1.367,173.6
2026-08-04,16:04:11,1.367,173.6
2026-08-04,16:04:11,1.366,173.5
